<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
USD000000TOD,0,20131204,100316,33.243500000,424000
USD000000TOD,0,20131204,100319,33.249500000,23000
USD000000TOD,0,20131204,100320,33.249500000,32000
USD000000TOD,0,20131204,100328,33.249500000,15000
USD000000TOD,0,20131204,100330,33.249000000,11000
USD000000TOD,0,20131204,100335,33.247500000,243000
USD000000TOD,0,20131204,100336,33.244500000,70000
USD000000TOD,0,20131204,100336,33.244000000,50000
USD000000TOD,0,20131204,100336,33.244000000,52000
USD000000TOD,0,20131204,100338,33.247000000,50000
USD000000TOD,0,20131204,100340,33.244500000,11000
USD000000TOD,0,20131204,100345,33.247500000,80000
USD000000TOD,0,20131204,100345,33.248000000,200000
USD000000TOD,0,20131204,100345,33.248000000,136000
USD000000TOD,0,20131204,100348,33.246000000,80000
USD000000TOD,0,20131204,100348,33.246000000,179000
USD000000TOD,0,20131204,100348,33.250000000,3000
USD000000TOD,0,20131204,100407,33.255000000,19000
USD000000TOD,0,20131204,100411,33.250000000,17000
USD000000TOD,0,20131204,100412,33.255000000,40000
USD000000TOD,0,20131204,100412,33.252500000,30000
USD000000TOD,0,20131204,100413,33.255000000,100000
USD000000TOD,0,20131204,100421,33.253000000,1000
USD000000TOD,0,20131204,100421,33.255000000,19000
USD000000TOD,0,20131204,100431,33.255000000,227000
USD000000TOD,0,20131204,100439,33.258500000,55000
USD000000TOD,0,20131204,100442,33.258500000,25000
USD000000TOD,0,20131204,100442,33.259000000,12000
USD000000TOD,0,20131204,100447,33.259000000,37000
USD000000TOD,0,20131204,100450,33.258500000,5000
USD000000TOD,0,20131204,100451,33.259000000,30000
USD000000TOD,0,20131204,100451,33.259000000,500000
USD000000TOD,0,20131204,100451,33.259500000,3776000
USD000000TOD,0,20131204,100454,33.259000000,158000
USD000000TOD,0,20131204,100456,33.260000000,54000
USD000000TOD,0,20131204,100457,33.258500000,100000
USD000000TOD,0,20131204,100500,33.255000000,76000
USD000000TOD,0,20131204,100500,33.255000000,124000
USD000000TOD,0,20131204,100501,33.258500000,5000
USD000000TOD,0,20131204,100506,33.255500000,265000
USD000000TOD,0,20131204,100510,33.258500000,400000
USD000000TOD,0,20131204,100510,33.259000000,2000000
USD000000TOD,0,20131204,100510,33.259000000,500000
USD000000TOD,0,20131204,100510,33.259500000,400000
USD000000TOD,0,20131204,100510,33.260000000,14000
USD000000TOD,0,20131204,100510,33.257500000,14000
USD000000TOD,0,20131204,100511,33.260000000,1900000
USD000000TOD,0,20131204,100515,33.258000000,500000
USD000000TOD,0,20131204,100515,33.258000000,500000
USD000000TOD,0,20131204,100515,33.258000000,375000
USD000000TOD,0,20131204,100517,33.260000000,20000
USD000000TOD,0,20131204,100519,33.260000000,436000
USD000000TOD,0,20131204,100519,33.260000000,16000
USD000000TOD,0,20131204,100519,33.260000000,560000
USD000000TOD,0,20131204,100519,33.260000000,50000
USD000000TOD,0,20131204,100529,33.260500000,477000
USD000000TOD,0,20131204,100529,33.260500000,23000
USD000000TOD,0,20131204,100534,33.264000000,18000
USD000000TOD,0,20131204,100537,33.262500000,103000
USD000000TOD,0,20131204,100537,33.262500000,297000
USD000000TOD,0,20131204,100537,33.264500000,200000
USD000000TOD,0,20131204,100537,33.264500000,500000
USD000000TOD,0,20131204,100537,33.265000000,295000
USD000000TOD,0,20131204,100537,33.265000000,5000
USD000000TOD,0,20131204,100543,33.265000000,297000
USD000000TOD,0,20131204,100546,33.265000000,198000
USD000000TOD,0,20131204,100546,33.265500000,45000
USD000000TOD,0,20131204,100548,33.265000000,7000
USD000000TOD,0,20131204,100548,33.263000000,7000
USD000000TOD,0,20131204,100550,33.265000000,100000
USD000000TOD,0,20131204,100550,33.263000000,493000
USD000000TOD,0,20131204,100550,33.263000000,7000
USD000000TOD,0,20131204,100557,33.262500000,500000
USD000000TOD,0,20131204,100558,33.261000000,50000
USD000000TOD,0,20131204,100601,33.262500000,300000
USD000000TOD,0,20131204,100601,33.262500000,16000
USD000000TOD,0,20131204,100603,33.260000000,50000
USD000000TOD,0,20131204,100603,33.260000000,2000000
USD000000TOD,0,20131204,100606,33.260000000,800000
USD000000TOD,0,20131204,100606,33.260000000,200000
USD000000TOD,0,20131204,100606,33.262500000,484000
USD000000TOD,0,20131204,100606,33.262500000,195000
USD000000TOD,0,20131204,100606,33.262500000,73000
USD000000TOD,0,20131204,100606,33.263000000,679000
USD000000TOD,0,20131204,100607,33.260000000,80000
USD000000TOD,0,20131204,100607,33.259500000,200000
USD000000TOD,0,20131204,100607,33.259500000,150000
USD000000TOD,0,20131204,100607,33.258500000,200000
USD000000TOD,0,20131204,100607,33.259000000,300000
USD000000TOD,0,20131204,100607,33.260000000,250000
USD000000TOD,0,20131204,100607,33.259500000,8000
USD000000TOD,0,20131204,100609,33.259500000,92000
USD000000TOD,0,20131204,100616,33.260000000,62000
USD000000TOD,0,20131204,100617,33.257500000,500000
