<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,103200,33.2560000,33.2560000,33.2525000,33.2560000,11173000
USD000000TOD,1,20131204,103300,33.2550000,33.2555000,33.2525000,33.2550000,2357000
USD000000TOD,1,20131204,103400,33.2550000,33.2560000,33.2550000,33.2550000,3308000
USD000000TOD,1,20131204,103500,33.2560000,33.2560000,33.2550000,33.2550000,2942000
USD000000TOD,1,20131204,103600,33.2550000,33.2550000,33.2540000,33.2550000,1585000
USD000000TOD,1,20131204,103700,33.2540000,33.2565000,33.2525000,33.2555000,7351000
USD000000TOD,1,20131204,103800,33.2545000,33.2560000,33.2540000,33.2555000,3459000
USD000000TOD,1,20131204,103900,33.2530000,33.2565000,33.2530000,33.2535000,1282000
USD000000TOD,1,20131204,104000,33.2555000,33.2560000,33.2535000,33.2535000,575000
USD000000TOD,1,20131204,104100,33.2565000,33.2610000,33.2535000,33.2610000,8595000
USD000000TOD,1,20131204,104200,33.2580000,33.2600000,33.2570000,33.2570000,1896000
USD000000TOD,1,20131204,104300,33.2605000,33.2610000,33.2600000,33.2600000,2674000
USD000000TOD,1,20131204,104400,33.2605000,33.2615000,33.2605000,33.2610000,1821000
USD000000TOD,1,20131204,104500,33.2620000,33.2620000,33.2600000,33.2620000,1484000
USD000000TOD,1,20131204,104600,33.2615000,33.2625000,33.2605000,33.2620000,6196000
USD000000TOD,1,20131204,104700,33.2625000,33.2645000,33.2615000,33.2645000,6901000
USD000000TOD,1,20131204,104800,33.2615000,33.2650000,33.2595000,33.2650000,11343000
USD000000TOD,1,20131204,104900,33.2650000,33.2650000,33.2615000,33.2640000,10245000
USD000000TOD,1,20131204,105000,33.2650000,33.2650000,33.2615000,33.2615000,5591000
USD000000TOD,1,20131204,105100,33.2645000,33.2645000,33.2630000,33.2630000,1947000
USD000000TOD,1,20131204,105200,33.2645000,33.2645000,33.2625000,33.2640000,2256000
USD000000TOD,1,20131204,105300,33.2645000,33.2645000,33.2555000,33.2580000,10260000
USD000000TOD,1,20131204,105400,33.2600000,33.2600000,33.2600000,33.2600000,4794000
USD000000TOD,1,20131204,105500,33.2600000,33.2610000,33.2585000,33.2610000,8337000
USD000000TOD,1,20131204,105600,33.2610000,33.2630000,33.2600000,33.2610000,2049000
USD000000TOD,1,20131204,105700,33.2610000,33.2630000,33.2600000,33.2630000,5149000
USD000000TOD,1,20131204,105800,33.2630000,33.2640000,33.2595000,33.2625000,3187000
USD000000TOD,1,20131204,105900,33.2620000,33.2620000,33.2600000,33.2600000,786000
USD000000TOD,1,20131204,110000,33.2600000,33.2630000,33.2580000,33.2600000,28798000
USD000000TOD,1,20131204,110100,33.2585000,33.2600000,33.2555000,33.2555000,2584000
USD000000TOD,1,20131204,110200,33.2595000,33.2610000,33.2595000,33.2610000,1249000
USD000000TOD,1,20131204,110300,33.2595000,33.2600000,33.2565000,33.2600000,3554000
USD000000TOD,1,20131204,110400,33.2565000,33.2630000,33.2565000,33.2630000,14981000
